title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
The Heart of the Andes,Frederic Edwin Church,1859,wikimedia,Frederic_Edwin_Church_-_The_Heart_of_the_Andes_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Frederic_Edwin_Church_-_Heart_of_the_Andes.jpg,Public domain,C,75000,romanticism|landscape|oil painting|Church|Met
The Rocky Mountains Lander's Peak,Albert Bierstadt,1863,wikimedia,Albert_Bierstadt_-_The_Rocky_Mountains%2C_Lander%27s_Peak.jpg,https://commons.wikimedia.org/wiki/File:Albert_Bierstadt_-_The_Rocky_Mountains.jpg,Public domain,C,72000,romanticism|landscape|oil painting|Bierstadt|Met
The Great Day of His Wrath,John Martin,1851,wikimedia,John_Martin_-_The_Great_Day_of_His_Wrath_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:John_Martin_-_The_Great_Day_of_His_Wrath.jpg,Public domain,C,65000,romanticism|apocalypse|oil painting|Martin|Tate
The Death of Sardanapalus,Eugene Delacroix,1827,wikimedia,Eugene_Delacroix_-_La_Mort_de_Sardanapale.jpg,https://commons.wikimedia.org/wiki/File:Eugene_Delacroix_-_La_Mort_de_Sardanapale.jpg,Public domain,C,62000,romanticism|history painting|oil painting|Delacroix|Louvre
The Derby at Epsom,Theodore Gericault,1821,wikimedia,Theodore_Gericault_-_The_1821_Derby_at_Epsom.jpg,https://commons.wikimedia.org/wiki/File:Gericault_-_Derby_at_Epsom.jpg,Public domain,C,58000,romanticism|equestrian|oil painting|Gericault|Louvre
The Ancient of Days,William Blake,1794,wikimedia,Europe_a_Prophecy%2C_copy_D%2C_object_1.jpg,https://commons.wikimedia.org/wiki/File:Europe_a_Prophecy_-_The_Ancient_of_Days.jpg,Public domain,C,55000,romanticism|print|watercolor|Blake|British Museum
The Nightmare,Henry Fuseli,1781,wikimedia,John_Henry_Fuseli_-_The_Nightmare.jpg,https://commons.wikimedia.org/wiki/File:John_Henry_Fuseli_-_The_Nightmare.jpg,Public domain,D,28000,romanticism|oil painting|supernatural|Fuseli|Detroit
The Bright Cloud,Samuel Palmer,1834,wikimedia,Samuel_Palmer_-_A_Bright_Cloud.jpg,https://commons.wikimedia.org/wiki/File:Samuel_Palmer_-_A_Bright_Cloud.jpg,Public domain,D,24000,romanticism|landscape|watercolor|Palmer|pastoral
Plum Park in Kameido,Utagawa Hiroshige,1857,wikimedia,Hiroshige_-_Plum_Park_in_Kameido.jpg,https://commons.wikimedia.org/wiki/File:Hiroshige_-_Plum_Park_in_Kameido.jpg,Public domain,D,20000,ukiyo-e|woodblock print|landscape|Hiroshige|Japan
Dragon Ascending Mount Fuji,Katsushika Hokusai,1835,wikimedia,Hokusai_Dragon.jpg,https://commons.wikimedia.org/wiki/File:Hokusai_Dragon_ascending_Mount_Fuji.jpg,Public domain,D,18000,ukiyo-e|woodblock print|mythology|Hokusai|Japan
Cats Suggested as the Fifty-three Stations of the Tokaido,Utagawa Kuniyoshi,1850,wikimedia,Kuniyoshi_Cats.jpg,https://commons.wikimedia.org/wiki/File:Kuniyoshi_-_Cats_Fifty-three_Stations.jpg,Public domain,D,15000,ukiyo-e|woodblock print|cats|Kuniyoshi|humor
One Hundred Aspects of the Moon - Mount Yoshino,Tsukioka Yoshitoshi,1886,wikimedia,Yoshitoshi_-_100_Aspects_of_the_Moon_-_Mount_Yoshino.jpg,https://commons.wikimedia.org/wiki/File:Yoshitoshi_-_100_Aspects_of_the_Moon.jpg,Public domain,D,12000,ukiyo-e|woodblock print|mythology|Yoshitoshi|Meiji
Ville-d'Avray,Jean-Baptiste-Camille Corot,1867,wikimedia,Jean-Baptiste-Camille_Corot_-_Ville-d%27Avray.jpg,https://commons.wikimedia.org/wiki/File:Corot_-_Ville-d'Avray.jpg,Public domain,D,10000,romanticism|landscape|oil painting|Corot|France
Coast of Normandy,Richard Parkes Bonington,1824,wikimedia,Richard_Parkes_Bonington_-_Coast_of_Normandy.jpg,https://commons.wikimedia.org/wiki/File:Bonington_-_Coast_of_Normandy.jpg,Public domain,D,5000,romanticism|landscape|watercolor|Bonington|Normandy
