title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
Self-Portrait with Grey Felt Hat,Vincent van Gogh,1887,wikimedia,Vincent_van_Gogh_-_Self-portrait_with_grey_felt_hat_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Self-portrait_with_grey_felt_hat.jpg,Public domain,D,29000,post-impressionism|self-portrait|oil painting|van Gogh|Amsterdam
Skull of a Skeleton with Burning Cigarette,Vincent van Gogh,1886,wikimedia,Vincent van Gogh - Head of a skeleton with a burning cigarette - Google Art Project.jpg,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Head_of_a_skeleton_with_a_burning_cigarette_-_Google_Art_Project.jpg,Public domain,D,27000,post-impressionism|still life|oil painting|van Gogh|Amsterdam
Wheatfield with Crows,Vincent van Gogh,1890,wikimedia,Korenveld met kraaien - s0149V1962 - Van Gogh Museum.jpg,https://commons.wikimedia.org/wiki/File:Korenveld_met_kraaien_-_s0149V1962_-_Van_Gogh_Museum.jpg,Public domain,D,25000,post-impressionism|landscape|oil painting|van Gogh|Amsterdam
Almond Blossom,Vincent van Gogh,1890,wikimedia,Vincent_van_Gogh_-_Almond_blossom_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Almond_blossom.jpg,Public domain,D,23000,post-impressionism|nature|oil painting|van Gogh|Amsterdam
The Church at Auvers,Vincent van Gogh,1890,wikimedia,"Vincent van Gogh - The Church in Auvers-sur-Oise, View from the Chevet - Google Art Project.jpg",https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_The_Church_in_Auvers-sur-Oise%2C_View_from_the_Chevet_-_Google_Art_Project.jpg,Public domain,D,21000,post-impressionism|architecture|oil painting|van Gogh|Orsay
Irises,Vincent van Gogh,1889,wikimedia,Vincent_van_Gogh_-_Irises_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Irises.jpg,Public domain,D,19000,post-impressionism|still life|oil painting|van Gogh|Getty
Road with Cypress and Star,Vincent van Gogh,1890,wikimedia,Vincent van Gogh - Road with Cypress and Star - c. 12-15 May 1890.jpg,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Road_with_Cypress_and_Star_-_c._12-15_May_1890.jpg,Public domain,D,17000,post-impressionism|landscape|oil painting|van Gogh|Kroller-Muller
Starry Night Over the Rhone,Vincent van Gogh,1888,wikimedia,Starry_Night_Over_the_Rhone.jpg,https://commons.wikimedia.org/wiki/File:Starry_Night_Over_the_Rhone.jpg,Public domain,D,15000,post-impressionism|landscape|oil painting|van Gogh|Orsay
Farmhouse in Provence,Vincent van Gogh,1888,wikimedia,"Farmhouse in Provence, 1888, Vincent van Gogh, NGA.jpg",https://commons.wikimedia.org/wiki/File:Farmhouse_in_Provence%2C_1888%2C_Vincent_van_Gogh%2C_NGA.jpg,Public domain,D,13000,post-impressionism|landscape|oil painting|van Gogh|NGA
The Sower,Vincent van Gogh,1888,wikimedia,Sower at Sunset - Vincent Van Gogh.jpg,https://commons.wikimedia.org/wiki/File:Sower_at_Sunset_-_Vincent_Van_Gogh.jpg,Public domain,D,11000,post-impressionism|figure|oil painting|van Gogh|Kroller-Muller
The Large Bathers,Paul Cezanne,1906,wikimedia,"Paul Cézanne, French - The Large Bathers - Google Art Project.jpg",https://commons.wikimedia.org/wiki/File:Paul_C%C3%A9zanne%2C_French_-_The_Large_Bathers_-_Google_Art_Project.jpg,Public domain,D,9000,post-impressionism|nude|oil painting|Cezanne|Philadelphia
At the Moulin de la Galette,Henri de Toulouse-Lautrec,1889,wikimedia,"Renoir, Pierre-Auguste - Dance at Le Moulin de la Galette, 1876.jpg",https://commons.wikimedia.org/wiki/File:Renoir%2C_Pierre-Auguste_-_Dance_at_Le_Moulin_de_la_Galette%2C_1876.jpg,Public domain,D,8000,post-impressionism|genre|oil painting|Toulouse-Lautrec|Art Institute
The Red Studio,Henri Matisse,1911,wikimedia,"L'Atelier rouge, par Henri Matisse.jpg",https://commons.wikimedia.org/wiki/File:L%27Atelier_rouge%2C_par_Henri_Matisse.jpg,Public domain,D,7000,fauvism|interior|oil painting|Matisse|MoMA
Flowers in a Glass Vase,Jan Davidsz de Heem,1660,wikimedia,Jan Davidsz de Heem - Still life of flowers in a glass vase with insects and fruits in a stone niche l22036-58kpv-01-t1.jpg,https://commons.wikimedia.org/wiki/File:Jan_Davidsz_de_Heem_-_Still_life_of_flowers_in_a_glass_vase_with_insects_and_fruits_in_a_stone_niche_l22036-58kpv-01-t1.jpg,Public domain,D,6000,baroque|still life|oil painting|de Heem|NGA
Still Life with Cheese,Floris van Dijck,1615,wikimedia,Still life pewter jug fruit cheese Floris van Dyck.jpg,https://commons.wikimedia.org/wiki/File:Still_life_pewter_jug_fruit_cheese_Floris_van_Dyck.jpg,Public domain,D,5000,baroque|still life|oil painting|van Dijck|Rijksmuseum
The Night School,Gerard Dou,1660,wikimedia,Gerard Dou - The Night School (detail) - WGA06651.jpg,https://commons.wikimedia.org/wiki/File:Gerard_Dou_-_The_Night_School_%28detail%29_-_WGA06651.jpg,Public domain,D,4000,baroque|genre|oil painting|Dou|Rijksmuseum
Ships in a Gale,Willem van de Velde the Younger,1680,wikimedia,An English ship and a hooker at sea in a gale with other ships RMG BHC0902.jpg,https://commons.wikimedia.org/wiki/File:An_English_ship_and_a_hooker_at_sea_in_a_gale_with_other_ships_RMG_BHC0902.jpg,Public domain,D,3000,baroque|seascape|oil painting|van de Velde|Rijksmuseum
The Conversion of Saint Paul,Caravaggio,1601,wikimedia,Conversion_on_the_Way_to_Damascus-Caravaggio_%28c.1600-1%29.jpg,https://commons.wikimedia.org/wiki/File:Conversion_on_the_Way_to_Damascus-Caravaggio_(c.1600-1).jpg,Public domain,D,47000,baroque|religious|oil painting|Caravaggio|Rome
The Road to Calvary,Pieter Bruegel the Elder,1564,wikimedia,Pieter d. Ä. Brueghel (1525-1569) - Kreuztragung - 1746 - Führermuseum.jpg,https://commons.wikimedia.org/wiki/File:Pieter_d._%C3%84._Brueghel_%281525-1569%29_-_Kreuztragung_-_1746_-_F%C3%BChrermuseum.jpg,Public domain,D,2000,northern renaissance|religious|oil painting|Bruegel|Vienna
Portrait of a Man in a Red Turban,Jan van Eyck,1433,wikimedia,Portrait_of_a_Man_by_Jan_van_Eyck-small.jpg,https://commons.wikimedia.org/wiki/File:Portrait_of_a_Man_by_Jan_van_Eyck-small.jpg,Public domain,D,1000,northern renaissance|portrait|oil painting|van Eyck|National Gallery
Morning on the Seine,Claude Monet,1897,wikimedia,Claude Monet - Morning on the Seine - Google Art Project.jpg,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Morning_on_the_Seine_-_Google_Art_Project.jpg,Public domain,D,5500,impressionism|landscape|oil painting|Monet|Met
The Bridge at Argenteuil,Claude Monet,1874,wikimedia,Claude Monet 010.jpg,https://commons.wikimedia.org/wiki/File:Claude_Monet_010.jpg,Public domain,D,4500,impressionism|landscape|oil painting|Monet|NGA
Banquet Still Life,Abraham van Beyeren,1655,wikimedia,Abraham van Beyeren - Banquet Still Life - 1056 - Mauritshuis.jpg,https://commons.wikimedia.org/wiki/File:Abraham_van_Beyeren_-_Banquet_Still_Life_-_1056_-_Mauritshuis.jpg,Public domain,D,3500,baroque|still life|oil painting|van Beyeren|Rijksmuseum
Ice Scene near a Town,Hendrick Avercamp,1615,wikimedia,Hendrick_Avercamp_-_A_Scene_on_the_Ice_-_WGA01076.jpg,https://commons.wikimedia.org/wiki/File:Hendrick_Avercamp_-_A_Scene_on_the_Ice.jpg,Public domain,D,2500,baroque|landscape|oil painting|Avercamp|Rijksmuseum
The Merry Fiddler,Gerard van Honthorst,1623,wikimedia,Gerard van Honthorst - The Merry Fiddler - WGA11662.jpg,https://commons.wikimedia.org/wiki/File:Gerard_van_Honthorst_-_The_Merry_Fiddler_-_WGA11662.jpg,Public domain,D,1500,baroque|genre|oil painting|Honthorst|Rijksmuseum
