title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
Self-Portrait at Twenty-Eight,Albrecht Durer,1500,wikimedia,Albrecht_D%C3%BCrer_-_1500_self-portrait_%28High_resolution_and_detail%29.jpg,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_-_1500_self-portrait_(High_resolution_and_detail).jpg,Public domain,C,80000,northern renaissance|portrait|oil painting|Durer|Munich
Melencolia I,Albrecht Durer,1514,wikimedia,D%C3%BCrer_Melancholia_I.jpg,https://commons.wikimedia.org/wiki/File:D%C3%BCrer_Melancholia_I.jpg,Public domain,C,75000,northern renaissance|engraving|print|Durer|allegory
Ghent Altarpiece (Adoration of Mystic Lamb),Jan van Eyck,1432,wikimedia,Ghent_Altarpiece_-_Adoration_of_the_Lamb.jpg,https://commons.wikimedia.org/wiki/File:Ghent_Altarpiece_-_Adoration_of_the_Lamb.jpg,Public domain,C,72000,northern renaissance|altarpiece|oil painting|van Eyck|Ghent
The Flagellation of Christ,Piero della Francesca,1455,wikimedia,Piero_della_Francesca_-_The_Flagellation_-_WGA17600.jpg,https://commons.wikimedia.org/wiki/File:Piero_della_Francesca_-_The_Flagellation_-_WGA17600.jpg,Public domain,C,68000,renaissance|religious|perspective|Piero della Francesca|Urbino
Sacred Allegory,Giovanni Bellini,1490,wikimedia,Giovanni_Bellini_-_Sacred_Allegory_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Giovanni_Bellini_-_Sacred_Allegory_-_Google_Art_Project.jpg,Public domain,C,65000,renaissance|allegory|oil painting|Bellini|Uffizi
Lamentation over the Dead Christ,Andrea Mantegna,1480,wikimedia,Mantegna_Andrea_Dead_Christ.jpg,https://commons.wikimedia.org/wiki/File:Mantegna_Andrea_Dead_Christ.jpg,Public domain,C,62000,renaissance|religious|foreshortening|Mantegna|Milan
Lady with an Ermine,Leonardo da Vinci,1490,wikimedia,Lady_with_an_Ermine_-_Leonardo_da_Vinci_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Lady_with_an_Ermine_-_Leonardo_da_Vinci_-_Google_Art_Project.jpg,Public domain,C,60000,renaissance|portrait|oil painting|Leonardo|Krakow
The Ambassadors,Hans Holbein the Younger,1533,wikimedia,Hans_Holbein_the_Younger_-_The_Ambassadors_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Hans_Holbein_the_Younger_-_The_Ambassadors_-_Google_Art_Project.jpg,Public domain,D,28000,northern renaissance|portrait|anamorphosis|Holbein|National Gallery
View of Toledo,El Greco,1600,wikimedia,El_Greco_View_of_Toledo.jpg,https://commons.wikimedia.org/wiki/File:El_Greco_View_of_Toledo.jpg,Public domain,D,26000,mannerism|landscape|oil painting|El Greco|Met
The Tempest,Giorgione,1508,wikimedia,Giorgione_-_La_tempesta.jpg,https://commons.wikimedia.org/wiki/File:Giorgione_-_La_tempesta.jpg,Public domain,D,24000,renaissance|landscape|oil painting|Giorgione|Venice
The Judgment of Paris,Lucas Cranach the Elder,1530,wikimedia,Lucas_Cranach_d.%C3%84._-_Das_Urteil_des_Paris_%28Metropolitan_Museum_of_Art%29.jpg,https://commons.wikimedia.org/wiki/File:Lucas_Cranach_d.%C3%84._-_Das_Urteil_des_Paris.jpg,Public domain,D,20000,northern renaissance|mythology|oil painting|Cranach|nude
Christ Delivering the Keys to Saint Peter,Pietro Perugino,1482,wikimedia,Perugino_-_Consegna_delle_chiavi.jpg,https://commons.wikimedia.org/wiki/File:Perugino_-_Consegna_delle_chiavi.jpg,Public domain,D,18000,renaissance|fresco|religious|Perugino|Sistine Chapel
Adoration of the Magi,Gentile da Fabriano,1423,wikimedia,Gentile_da_Fabriano_-_Adorazione_dei_Magi_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_-_Adorazione_dei_Magi.jpg,Public domain,D,15000,renaissance|altarpiece|tempera|Gentile da Fabriano|Uffizi
The Annunciation with Saint Emidius,Carlo Crivelli,1486,wikimedia,Carlo_Crivelli_-_Annunciation_with_St_Emidius_-_National_Gallery.jpg,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_-_Annunciation_with_St_Emidius.jpg,Public domain,D,12000,renaissance|religious|tempera|Crivelli|National Gallery
Frescoes of the Borgia Apartments,Pinturicchio,1494,wikimedia,Pinturicchio_-_Disputation_of_St_Catherine_-_WGA17810.jpg,https://commons.wikimedia.org/wiki/File:Pinturicchio_-_Disputation_of_St_Catherine.jpg,Public domain,D,8000,renaissance|fresco|religious|Pinturicchio|Vatican
