title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
The Calling of Saint Matthew,Caravaggio,1600,wikimedia,The_Calling_of_Saint_Matthew-Caravaggo_%281599-1600%29.jpg,https://commons.wikimedia.org/wiki/File:The_Calling_of_Saint_Matthew-Caravaggo_(1599-1600).jpg,Public domain,A,900000,baroque|chiaroscuro|religious|Caravaggio|Rome
The Art of Painting,Johannes Vermeer,1666,wikimedia,Jan_Vermeer_-_The_Art_of_Painting_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Jan_Vermeer_-_The_Art_of_Painting.jpg,Public domain,C,82000,baroque|allegory|oil painting|Vermeer|Vienna
Woman Holding a Balance,Johannes Vermeer,1664,wikimedia,Vermeer_-_Woman_Holding_a_Balance.jpg,https://commons.wikimedia.org/wiki/File:Vermeer_-_Woman_Holding_a_Balance.jpg,Public domain,C,78000,baroque|genre|oil painting|Vermeer|NGA
Banquet of the Officers of the St George Civic Guard,Frans Hals,1616,wikimedia,Frans_Hals_-_Banket_van_de_officieren_van_de_Sint-Jorisdoelen.jpg,https://commons.wikimedia.org/wiki/File:Frans_Hals_-_Banket_officieren_Sint-Jorisdoelen.jpg,Public domain,C,72000,baroque|group portrait|oil painting|Hals|Haarlem
The Garden of Love,Peter Paul Rubens,1633,wikimedia,Peter_Paul_Rubens_-_The_Garden_of_Love_-_WGA20423.jpg,https://commons.wikimedia.org/wiki/File:Peter_Paul_Rubens_-_The_Garden_of_Love.jpg,Public domain,C,68000,baroque|allegory|oil painting|Rubens|Prado
Charles I at the Hunt,Anthony van Dyck,1635,wikimedia,Anthony_van_Dyck_-_Charles_I_%281600-49%29_with_M._de_St_Antoine_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Anthony_van_Dyck_-_Charles_I_at_the_Hunt.jpg,Public domain,C,65000,baroque|portrait|oil painting|van Dyck|Louvre
Still Life with Lemons Oranges and a Rose,Francisco de Zurbar%C3%A1n,1633,wikimedia,Francisco_de_Zurbar%C3%A1n_-_Still-life_with_Lemons%2C_Oranges_and_Rose_-_WGA26062.jpg,https://commons.wikimedia.org/wiki/File:Francisco_de_Zurbar%C3%A1n_-_Still-life_with_Lemons.jpg,Public domain,C,60000,baroque|still life|oil painting|Zurbar%C3%A1n|Norton Simon
Vase of Flowers,Jan Davidsz de Heem,1660,wikimedia,Jan_Davidsz._de_Heem_-_Vase_of_Flowers_-_WGA11290.jpg,https://commons.wikimedia.org/wiki/File:Jan_Davidsz._de_Heem_-_Vase_of_Flowers.jpg,Public domain,D,28000,baroque|still life|oil painting|de Heem|floral
A Woman and Two Men in a Courtyard,Pieter de Hooch,1658,wikimedia,Pieter_de_Hooch_-_A_Woman_and_Two_Men_in_a_Courtyard.jpg,https://commons.wikimedia.org/wiki/File:Pieter_de_Hooch_-_Courtyard.jpg,Public domain,D,25000,baroque|genre|oil painting|de Hooch|Dutch Golden Age
The Dissolute Household,Jan Steen,1664,wikimedia,Jan_Steen_-_The_Dissolute_Household.jpg,https://commons.wikimedia.org/wiki/File:Jan_Steen_-_The_Dissolute_Household.jpg,Public domain,D,22000,baroque|genre|oil painting|Steen|Dutch Golden Age
View of Haarlem with Bleaching Grounds,Jacob van Ruisdael,1670,wikimedia,Jacob_Isaacksz._van_Ruisdael_-_View_of_Haarlem.jpg,https://commons.wikimedia.org/wiki/File:Jacob_van_Ruisdael_-_View_of_Haarlem.jpg,Public domain,D,20000,baroque|landscape|oil painting|Ruisdael|Dutch Golden Age
Martyrdom of Saint Philip,Jusepe de Ribera,1639,wikimedia,Jos%C3%A9_de_Ribera_-_Martyrdom_of_Saint_Philip_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Jos%C3%A9_de_Ribera_-_Martyrdom_of_Saint_Philip.jpg,Public domain,D,18000,baroque|religious|oil painting|Ribera|Prado
Seaport with the Embarkation of the Queen of Sheba,Claude Lorrain,1648,wikimedia,Claude_Lorrain_-_Seaport_with_the_Embarkation_of_the_Queen_of_Sheba.jpg,https://commons.wikimedia.org/wiki/File:Claude_Lorrain_-_Seaport_Queen_of_Sheba.jpg,Public domain,D,15000,baroque|landscape|oil painting|Lorrain|National Gallery
Aurora,Guido Reni,1614,wikimedia,Guido_Reni_-_Aurora_-_WGA19286.jpg,https://commons.wikimedia.org/wiki/File:Guido_Reni_-_Aurora.jpg,Public domain,D,12000,baroque|fresco|mythology|Reni|Rome
Et in Arcadia Ego,Nicolas Poussin,1638,wikimedia,Nicolas_Poussin_-_Et_in_Arcadia_ego_%28deuxi%C3%A8me_version%29.jpg,https://commons.wikimedia.org/wiki/File:Nicolas_Poussin_-_Et_in_Arcadia_ego.jpg,Public domain,D,10000,baroque|allegory|oil painting|Poussin|Louvre
